X,Y,Z,Name,description,gx_media_links
-80.7434764,35.152075,0,McAlpine Creek Greenway Access,Access from dog park,
-80.8334893,35.0739233,0,Fourmile Creek Greenway Access,River Access Trail,
-80.7551428,35.144714,0,McAlpine Creek Greenway Access,Sunnywood Ln - Rocky Terrain,
-80.760575,35.140853,0,McAlpine Creek Greenway Access,Limerick Dr - Rocky Terrain,
-80.754279,35.145351,0,McAlpine Creek Greenway Access,Riverwood Dr - Rough Terrain ,
-80.852611,35.156757,0,Little Sugar Creek Greenway Access,Tyvola Rd,
-80.8672036,35.0658381,0,Fourmile Creek Greenway Access,River Access Trail,
-80.7454829,35.1478659,0,McAlpine Creek Greenway Access,Monroe Rd - Handicap Accessible but steep,
-80.8472647,35.0739167,0,Lower McAlpine Greenway Access,Shandon Circle,
-80.73784,35.147772,0,McAlpine Creek Greenway Access,Tower Point Drive - Not Handicap Accessible,
-80.8588025,35.069595,0,Fourmile Creek Greenway Access,5 Cedars Rd,
-80.76618,35.144798,0,McAlpine Creek Greenway Access,James Boyce Park,
-80.766942,35.136613,0,McAlpine Creek Greenway Access,Sardis Road,
-80.756369,35.148219,0,McAlpine Creek Greenway Access,Pineburr Road - Rocky Terrain,
-80.781351,35.127557,0,McAlpine Creek Greenway Access,Providence Road - Handicap Accessible Along Sidewalk,
-80.781007,35.127323,0,McAlpine Creek Greenway Access,Providence Road - Handicap Accessible along sidewalk,
-80.891298,35.073837,0,Little Sugar Creek Greenway Access,Stockdale Lane,
-80.893553,35.076084,0,Little Sugar Creek Greenway Access,Parklake Drive - Handicap Accessible,
-80.880814,35.085253,0,Little Sugar Creek Greenway Access,Carolina Place Mall - Handicap Accessible along sidewalk,
-80.8653017,35.0630372,0,Lower McAlpine Greenway Access,Vista Grand Circle,
-80.8642588,35.070506,0,Lower McAlpine Greenway Access,Mirror Lake Drive,
-80.8654232,35.0692718,0,McMullen Creek Greenway Access ,Woodgate Lane,
-80.8609911,35.076115,0,McMullen Creek Greenway Access,Rock Canyon Drive,
-80.8585924,35.0821753,0,McMullen Creek Greenway Access,Tifton Road,
-80.8744708,35.0760736,0,McMullen Creek Greenway Access,Park Road - Little Sugar Creek and McMullen Creek Greenways Connector Access,
-80.858525,35.0858757,0,McMullen Creek Greenway Access,Castlekeep Road,
-80.8666962,35.0686145,0,McMullen Creek Greenway Access,Little Sugar Creek and McMullen Creek Greenways Connector Access,
-80.8922843,35.0676974,0,Little Sugar Creek Greenway Access,Overlook Ridge Street - Handicap Accessible ,
-80.8639495,35.3432701,0,Long Creek Greenway Access,Bayview Parkway - Handicap Accessible,
-80.868867,35.345001,0,Long Creek Greenway Access,Treyburn Drive - Handicap Accessible,
-80.851636,35.340664,0,Long Creek Greenway Access,Julia Lee Court,
-80.851533,35.340324,0,Long Creek Greenway Access,Handicap Accessible but slightly steep switchbacks ,
-80.857978,35.343479,0,Long Creek Greenway Access,Reames Road - Handicap Accessible ,
-80.859164,35.34397,0,Long Creek Greenway Access,Secretariat Drive - Handicap Accessible ,
-80.861819,35.346687,0,Long Creek Greenway Access,Northlake W Drive ,
-80.8603567,35.3489774,0,Long Creek Greenway Access,Handicap Accessible,
-80.773884,35.33459,0,Clarks Creek Greenway Access,Handicap Accessible,
-80.7770986,35.3323821,0,Clarks Creek Greenway Access,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AEDAZkqxz_JWcf9eDKttv4yZdVZloxOtREDMiAv5liQKlB0GtoNSYIpz6gjTBMkcm8nqUR9i2FXgF1nHnvhNXUvz2vJ3SHcRdT0rL2jRAn943BEzvjSm0tvHTmuzvspaJm2L5oJ4O2iGf6Lo_QwVHNnltAxlAQGOdEp0zBPhpQQ8FgtJ9v6dKsGnKDHqpPCW_Fc8_AUolWN54OtU1u-RkL66UpzjrsnDcTgweOmXCfB35tBtH4XI5l8eFjLJUxA?authuser=0&fife=s16383
-80.7788374,35.3311741,0,Clarks Creek Greenway Access,Newchurch Circle - Handicap Accessible ,
-80.7771127,35.3284391,0,Clarks Creek Greenway Access,Fairmed Drive,
-80.773641,35.325851,0,Mallard Creek Greenway Access ,Mallard Creek Rd - Handicap Accessible from sidewalk ,
-80.7756047,35.3260996,0,Mallard Creek Greenway Access,Prestigious Lane - Not Handicap Accessible ,
-80.777151,35.326651,0,Mallard Creek Greenway Access,Demington Lane - Handicap Accessible,
-80.7824192,35.3249437,0,Mallard Creek Greenway Access,PRIVATE - Clare Olivia Drive Access Point,
-80.7884498,35.3240654,0,Mallard Creek Greenway Access,Arklow Road - Handicap Accessible ,
-80.7871074,35.3270053,0,Mallard Creek Greenway Access,Mallard Grove Road - Not Handicap Accessible ,
-80.7896419,35.3261733,0,Mallard Creek Greenway Access,Mayela día Road - Not Handicap Accessible ,
-80.793963,35.325404,0,Mallard Creek Greenway Access,Stream Bridge Drive,
-80.7949107,35.3269623,0,Mallard Creek Greenway Access,Amaranthus Road,
-80.8397552,35.1947094,0,Little Sugar Creek Greenway Access,Freedom Park by tennis courts,
-80.84291,35.19174,0,Little Sugar Creek Greenway Access,Handicap Accessible ,
-80.8451122,35.1802481,0,Little Sugar Creek Greenway Access,Westfield Road - Handicap Accessible,
-80.84604,35.176677,0,Little Sugar Creek Greenway Access,Westfield Road - Handicap Accessible,
-80.846454,35.178952,0,Little Sugar Creek Greenway Access,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AEDAZkpYrHbn9IG4kD4qoxRyLvLDtMz_xr1dbbB6nuvThil6ZHHN6Q74ir_lOKpIrkdEYZKLmV2yzXYpg-5PmO9dDys7VlJt8CBar-36eZXnVrSLWcs6tKVFyg7g-ZBoePq9HnwNCGSfS6vYQXV0kZiOUeNt_65xlqN2pfeMVCQaHAz2bU1Cu5iZ0VGVmZ-0xaeSkxKOA4W1EWNAkk-a-ybrNZHsiAIBrzSzTyEP27uR_eAIJFdffs2F7ORDILo?authuser=0&fife=s16383
-80.8457713,35.1731346,0,Little Sugar Creek Greenway Access,Westfield Road - Handicap Accessible ,
-80.84487,35.171101,0,Little Sugar Creek Greenway Access,Woodlawn Road,
-80.84492,35.170902,0,Little Sugar Creek Greenway Access,Woodlawn Road,
-80.8482528,35.1594852,0,Little Sugar Creek Greenway Access,"Selwyn Avenue - unpacked, rocky terrain ",
-80.866978,35.118381,0,Little Sugar Creek Greenway Access,Sharon Road West,
-80.8677917,35.1087247,0,Little Sugar Creek Greenway Access,Turnberry Lane,
-80.8627224,35.1279518,0,Little Sugar Creek Greenway Access,Ramblewood Lane,
-80.8656012,35.1318656,0,Little Sugar Creek Greenway Access,Rockledge Drive,
-80.8586316,35.1444951,0,Little Sugar Creek Greenway Access,Grey Gate Lane,
-80.862594,35.138126,0,Little Sugar Creek Greenway Access,Huntingtowne Farms Park,
-80.855259,35.150321,0,Little Sugar Creek Greenway Access,Park Road Park,
-80.8586156,35.1520623,0,Little Sugar Creek Greenway Access,Tanbark Place,
-80.715547,35.102868,0,Four Mile Creek Greenway Access,Rockwell View Road - Handicap Accessible ,
-80.868443,35.111883,0,Little Sugar Creek Greenway Access,Heidleburg Lane,
-80.8654216,35.1352517,0,Little Sugar Creek Greenway Access,Woodstream Drive - PEDESTRIAN ACCESS ONLY,
-80.7381751,35.1835001,0,Campbell Creek Greenway Access,Bluff Wood Cove - Handicap Accessible,
-80.7391739,35.1845513,0,Campbell Creek Greenway Access,Lockmont Drive,
-80.734634,35.172747,0,Campbell Creek Greenway Access,Piney Grove Road,
-80.73731,35.178538,0,Campbell Creek Greenway Access,City View Drive - Handicap Accessible,
-80.735469,35.176991,0,Campbell Creek Greenway Access,E.W.T. Harris Boulevard - Not Handicap Accessible,
-80.7377125,35.1585847,0,McAlpine Creek Greenway Access,Not Handicap Accessible,
-80.8818522,35.0883993,0,Little Sugar Creek Greenway Access,Leitner Drive - Handicap Accessible,
-80.8366932,35.204545,0,Little Sugar Creek Greenway Access,East Morehead,
