X,Y,Z,Name,description,gx_media_links
-80.841061,35.0765697,0,Parking,McAlpine Creek & Fourmile Creek Greenways,
-80.8936229,35.0761859,0,Parking,Little Sugar Creek Greenway,
-80.7674183,35.1363014,0,Parking,McAlpine Creek Greenway,
-80.7441601,35.1507887,0,Parking,McAlpine Creek Greenway,
-80.8129339,35.1989795,0,Parking,Briar Creek Greenway,
-80.6938022,35.1113251,0,Parking,Fourmile Creek Greenway,
-80.8819281,35.0778233,0,Parking,Little Sugar Creek Greenway,
-80.8391588,35.1958514,0,Parking,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AEDAZkql2QyoQ1vm3-UGaaAh0mMpVaRYBljMSFy5-D9BDQlnbuMBqINBtgnbc2XxY5NjPK8I0LUovkmayxHb8PAheQmI1l3IU6zoa3jNecZYHp9ITwRnxKzb0oXFxhJHWKRyJ4wBAyN237nGFvyE8nGv_pCG18ZtGgmdTSGo33rMstJozYcVTvoZAmpmo-hI3g2DFcN1VwZTzY0NNryx864AlOAuMJSbA8ymJGOoSCA5mqBCFBm9e4psqyzucJY?authuser=0&fife=s16383
-80.8428476,35.192147,0,Parking,Little Sugar Creek Greenway,
-80.8629495,35.127797,0,Parking,Little Sugar Creek Greenway,
-80.8634211,35.1363502,0,Parking,Little Sugar Creek Greenway,
-80.8624704,35.1379754,0,Parking,Little Sugar Creek Greenway,
-80.8553655,35.1501109,0,Parking,Little Sugar Creek Greenway,
-80.8572613,35.1582188,0,Parking,Little Sugar Creek Greenway,
-80.865978,35.1178056,0,Parking,Little Sugar Creek Greenway,
-80.7372707,35.1638928,0,Parking,Campbell Creek and McAlpine Creek Greenways,
-80.8571411,35.087032,0,Parking,McMullen Creek Greenway,
-80.8330301,35.2183886,0,Parking,Little Sugar Creek Greenway,
-80.8332509,35.2171398,0,Parking,Little Sugar Creek Greenway,
-80.8820331,35.0881587,0,Parking,Little Sugar Creek Greenway,
-80.8816143,35.0872496,0,Parking,Little Sugar Creek Greenway,
-80.8189693,35.4781072,0,Parking,South Prong Rocky River Greenway,
-80.8486503,35.4879153,0,Parking,South Prong Rocky River Greenway,
-80.781338,35.4589459,0,Parking,West Branch Rocky River Greenway,
-80.8629907,35.4556343,0,Parking,Gravel - Caldwell Station Creek Greenway,
-80.8298086,35.0112358,0,Parking,Six Mile Creek Greenway,
-80.8853467,35.4602994,0,Parking,Westmoreland Athletic Complex,
-80.8806457,35.4449593,0,Parking,Shopping Center - McDowell Creek Greenway,
-80.8882808,35.4507506,0,Parking,,
-80.781175,35.3403206,0,Parking,Clarks Creek Greenway,
-80.8154381,35.2372486,0,Parking,Little Sugar Creek Greenway,
-80.8275677,35.2279117,0,Parking,Little Sugar Creek Greenway,
-80.7121702,35.1060515,0,Parking,Four Mile Creek Greenway,
-80.8525137,35.2378847,0,Parking,Irwin Creek Greenway,
-80.8924721,35.2074992,0,Parking,Irwin Creek Greenway,
-80.8889689,35.2101654,0,Parking,Irwin Creek Greenway,
-80.884446,35.2053937,0,Parking,Irwin Creek Greenway,
-80.8787755,35.2129071,0,Parking,Irwin Creek Greenway,
-80.8764064,35.2146012,0,Parking,Irwin Creek Greenway,
-80.8754623,35.2150877,0,Parking,Irwin Creek Greenway,
-80.796946,35.5056528,0,Parking,West Branch Rocky River Greenway,
-80.7991752,35.489853,0,Parking,West Branch Rocky River Greenway,
-80.8070973,35.4986415,0,Parking,West Branch Rocky River Greenway,
-80.8431395,35.4663884,0,Parking,Caldwell Station Creek Greenway,
-80.8434796,35.4114391,0,Parking,Huntersville Urban Trail,
-80.8666208,35.2390058,0,Parking,Irwin and Stewart Creek Greenways,
-80.8571285,35.232198,0,Parking,Irwin Creek Greenway,
-80.7944477,35.2219798,0,Parking,Briar Creek Greenway,
-80.766657,35.1452451,0,Parking,McAlpine Creek Greenway,
-80.7739744,35.3348409,0,Parking,Clarks Creek Greenway,
-80.732063,35.3210281,0,Parking,Mallard Creek Greenway,
-80.7231694,35.0995944,0,Parking,Four Mile Creek Greenway,
-80.8172118,35.0776785,0,Parking,Four Mile Creek Greenway,
-80.8889521,35.4062532,0,Parking,McDowell and Torrence Creek Greenways,
-80.88303,35.403531,0,Parking,McDowell and Torrence Creek Greenways,
-80.7915583,35.4761338,0,Parking,West Branch Rocky River Greenway,
